21:16:34.976 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.976 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.977 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.978 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.979 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.980 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.981 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.982 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.983 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.984 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.985 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.986 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.987 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.988 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.989 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.990 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.991 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.992 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.993 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.994 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.995 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.996 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.997 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.998 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
